"","Anio","Mes","GasolinaSuper","GasolinaRegular","TotalGasolinas","Diesel","DieselLS","DieselULS","TotalDiesel","GLP","GasolinaAviacion","Kerosina","TurboJet","Bunker","Asfalto","PetCoke","AceitesLubricantes","GrasasLubricantes","Solventes","Naftas","Ceras","CrudoNacional","Butano","Orimulsion","MezclasOleosas","Total"
"3",2000,1,308156.82,202645.2,510802.02,634667.06,NA,NA,634667.06,194410.48,1426,64026.09,NA,296766.99,48446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750544.64
"4",2000,2,307766.31,205530.96,513297.27,642380.66,NA,NA,642380.66,174710.55,1458,62660.3,NA,328116.44,50597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1773220.22
"5",2000,3,331910.29,229499.56,561409.85,699807.25,NA,NA,699807.25,189234.07,1503,61361.99,NA,368589.63,27593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1909498.79
"6",2000,4,315648.08,210680.4,526328.48,586803.98,NA,NA,586803.98,174330.61,1561,61814.32,NA,396300.47,53794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800932.86
"7",2000,5,319667.97,208164.34,527832.31,656948.2,NA,NA,656948.2,191745.15,1642,54098.32,NA,449368.92,60137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941771.9
"8",2000,6,300347.7,195088.74,495436.44,570919.88,NA,NA,570919.88,196321.93,1641,60390.32,NA,404033.69,40623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769366.26
"9",2000,7,308305.93,204556.77,512862.7,576436.02,NA,NA,576436.02,192344.5,1598,61931.56,NA,291436.2,36670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1673278.98
"10",2000,8,323011.86,218388.51,541400.37,593770.77,NA,NA,593770.77,203727.08,1438,70821.94,NA,373811.63,25033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1810002.79
"11",2000,9,326455.72,213906.96,540362.68,590145.4,NA,NA,590145.4,194565.1,1469,58960.01,NA,322718.89,16906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1725127.08
"12",2000,10,323843.63,213606.65,537450.28,641113.36,NA,NA,641113.36,210261.83,1475,63794.12,NA,260955.42,22070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737120.01
"13",2000,11,320788.08,209227.48,530015.56,657086.3,NA,NA,657086.3,205027.95,1498,65733,NA,310274.26,25659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1795294.07
"14",2000,12,366987.56,230020.7,597008.26,673282.26,NA,NA,673282.26,200247.56,1501,68848.5,NA,284045.83,20430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1845363.41
"15",2001,1,300242.78,164547.35,464790.13,569328.79,NA,NA,569328.79,179405.99,1755.58,69691.25,NA,399107.63,30002.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1714081.59
"16",2001,2,301483.4,174838.81,476322.21,597749.83,NA,NA,597749.83,167818.14,1510.58,56326.42,NA,404897,34407.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1739031.76
"17",2001,3,355572.83,201992.65,557565.48,736085.97,NA,NA,736085.97,186397.33,1602.58,68208.99,NA,406269.28,32274.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988404.31
"18",2001,4,355826.76,198683.39,554510.15,606257.66,NA,NA,606257.66,175820.35,1355.58,66697.9,NA,397689.22,26986.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829317.82
"19",2001,5,336040.04,182504.09,518544.13,664082.66,NA,NA,664082.66,178303.33,1273.58,61641.63,NA,494837.73,29776.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948459.78
"20",2001,6,308804.7,201379.48,510184.18,559333.03,NA,NA,559333.03,177826.93,1171.58,57796.09,NA,385382.02,26759.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1718453.05
"21",2001,7,350501.97,214980.24,565482.21,589452.73,NA,NA,589452.73,191041.99,1637.58,67033.45,NA,482085.37,24312.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921045.63
"22",2001,8,348414.65,204646.77,553061.42,568546.37,NA,NA,568546.37,190295.99,1412.58,64093.29,NA,470955.27,25226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873590.93
"23",2001,9,324393.96,188292.35,512686.31,533108.39,NA,NA,533108.39,184039.99,1710.58,51773.04,NA,387235.78,20603.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691157.2
"24",2001,10,366261.63,225240.95,591502.58,603371.18,NA,NA,603371.18,206176.99,1102.58,56193.31,NA,412617.56,29817.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900781.31
