"","Anio","Mes","GasolinaSuper","GasolinaRegular","TotalGasolinas","Diesel","DieselLS","DieselULS","TotalDiesel","GLP","GasolinaAviacion","Kerosina","TurboJet","Bunker","Asfalto","PetCoke","AceitesLubricantes","GrasasLubricantes","Solventes","Naftas","Ceras","Butano","PetroleoReconstit","MTBE","Orimulsion","MezclasOleosas","PetroleoCrudo","TotalMensual"
"3",2001,1,373963.96,177776.5,551740.46,566101.99,NA,NA,566101.99,194065.74,820,33834.03,NA,214581.84,27748.99,NA,NA,NA,NA,NA,NA,NA,715344,8402,NA,NA,NA,2312639.05
"4",2001,2,243091.07,123115.99,366207.06,489525.8,NA,NA,489525.8,170703.38,3054,67439.95,NA,294609,7503.57,NA,NA,NA,NA,NA,NA,NA,370166,NA,NA,NA,NA,1769208.76
"5",2001,3,312084.38,161726.42,473810.8,575559.68,NA,NA,575559.68,161837.37,677,31787.29,NA,315263.8,26304.32,NA,NA,NA,NA,NA,NA,NA,360530,NA,NA,NA,NA,1945770.26
"6",2001,4,285054.89,127338.74,412393.63,437745.42,NA,NA,437745.42,163048.64,3399,25801.18,NA,205653,7885.89,NA,NA,NA,NA,NA,NA,NA,359527,8184,NA,NA,NA,1623637.76
"7",2001,5,300913.67,168730.19,469643.86,552609.13,NA,NA,552609.13,171518.86,585,45529.33,NA,278371.3,8443.16,NA,NA,NA,NA,NA,NA,NA,723346,12680,NA,NA,NA,2262726.64
"8",2001,6,333217.19,152899.09,486116.28,497855.26,NA,NA,497855.26,190004.42,492,64444.95,NA,218765.6,6229.04,NA,NA,NA,NA,NA,NA,NA,360369,NA,NA,NA,NA,1824276.55
"9",2001,7,195071.86,136299.13,331370.99,302350.02,NA,NA,302350.02,206022.83,655,23654.1,NA,156109,3103.99,NA,NA,NA,NA,NA,NA,NA,360570,10642,NA,NA,NA,1394477.93
"10",2001,8,268153.26,139365.07,407518.33,464159.13,NA,NA,464159.13,100561.47,607,49890.61,NA,189692.6,27821.06,NA,NA,NA,NA,NA,NA,NA,719303,13357,NA,NA,NA,1972910.2
"11",2001,9,308439.07,233643.75,542082.82,321952.94,NA,NA,321952.94,186839.02,3868,41519.91,NA,385142.3,2324.85,NA,NA,NA,NA,NA,NA,NA,360635,NA,NA,NA,NA,1844364.84
"12",2001,10,305102.28,141550.22,446652.5,438989.55,NA,NA,438989.55,163864.2,650,32657.33,NA,214138,1484.4,NA,NA,NA,NA,NA,NA,NA,717717,19431,NA,NA,NA,2035583.98
"13",2001,11,256638.19,165841.46,422479.65,440245.35,NA,NA,440245.35,194722.5,2988,23876.81,NA,142282.26,895.44,NA,NA,NA,NA,NA,NA,NA,356364,NA,NA,NA,NA,1583854.01
"14",2001,12,277145.05,149217.67,426362.72,479983.27,NA,NA,479983.27,194329.02,350,22948.95,NA,307427.2,321.3,NA,NA,NA,NA,NA,NA,NA,366828,14822,NA,NA,NA,1813372.46
"15",2002,1,271479,178585.93,450064.93,500041.32,NA,NA,500041.32,168422.62,NA,25109.5,NA,332302.3,1978.12,NA,NA,NA,NA,NA,NA,NA,724812,11481,NA,NA,NA,2214211.79
